fold,split,train_rows,eval_rows,account_points,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,turnover,annualized_turnover,average_holding_time_days
fold1,val,1241,231,231,0.07793084008483886,0.08569612470151333,0.1290432137347894,0.6640885810364011,1.0371346522575382,0.8928501256214072,-0.09598041400494894,0.9411699234195334,1.0311948726161844,230.0
fold1,test,1241,233,233,0.2287237610000612,0.2507365190462374,0.11077012630694458,2.263575274360934,3.1943226068255695,4.1826683693424584,-0.05994654534030264,0.8957729484945197,0.9729947543992198,232.0
fold2,val,1240,233,233,0.2287237610000612,0.2507365190462374,0.11077012630694458,2.263575274360934,3.1943226068255695,4.1826683693424584,-0.05994654534030264,0.8957729484945197,0.9729947543992198,232.0
fold2,test,1240,233,233,0.14706357059936526,0.1607116398328643,0.10926324125137278,1.4708664871393344,1.9502342175170941,2.117021738059487,-0.07591402437850092,0.9061813981447325,0.9843004841916922,232.0
fold3,val,1239,233,233,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
fold3,test,1239,233,233,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
fold4,val,1239,233,233,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
fold4,test,1239,233,233,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
fold5,val,1239,233,233,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
fold5,test,1239,232,232,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
fold6,val,1239,232,232,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
fold6,test,1239,232,232,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
fold7,val,1240,232,232,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
fold7,test,1240,233,233,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
fold8,val,1239,233,233,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
fold8,test,1239,93,93,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
