fold,split,train_rows,eval_rows,account_points,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,turnover,annualized_turnover,average_holding_time_days
fold1,val,1241,231,231,0.07793084008483886,0.08569612470151333,0.1290432137347894,0.6640885810364011,1.0371346522575382,0.8928501256214072,-0.09598041400494894,0.9411699234195334,1.0311948726161844,230.0
fold1,test,1241,233,233,0.2287237610000612,0.2507365190462374,0.11077012630694458,2.263575274360934,3.1943226068255695,4.1826683693424584,-0.05994654534030264,0.8957729484945197,0.9729947543992198,232.0
fold2,val,1240,233,233,0.2287237610000612,0.2507365190462374,0.11077012630694458,2.263575274360934,3.1943226068255695,4.1826683693424584,-0.05994654534030264,0.8957729484945197,0.9729947543992198,232.0
fold2,test,1240,233,233,0.14706357059936526,0.1607116398328643,0.10926324125137278,1.4708664871393344,1.9502342175170941,2.117021738059487,-0.07591402437850092,0.9061813981447325,0.9843004841916922,232.0
fold3,val,1239,233,233,0.14371922159576433,0.1570362249433317,0.10977970030498156,1.4304668759986197,1.9018396686589722,2.062465539889723,-0.076140047872862,0.9120650046992977,0.990691298207858,232.0
fold3,test,1239,233,233,0.021102740859985536,0.022942659795196496,0.15415413422309995,0.1488293512906548,0.20297031707054014,0.18704922931420637,-0.12265573014822362,0.9643693693958797,1.0475046598610418,232.0
fold4,val,1239,233,233,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
fold4,test,1239,233,233,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
fold5,val,1239,233,233,0.1514004099334716,0.16547916978005794,0.11718013513797207,1.4121776663358245,1.8954816955122957,2.7809437594151705,-0.05950468045957824,0.9086078748589341,0.9869361399329802,232.0
fold5,test,1239,232,232,0.16814056326599136,0.1847617472426648,0.06652345528072356,2.7773925221259974,3.6778286050356286,6.215834140668274,-0.029724368936073442,0.9066978483551997,0.9891249254783996,231.0
fold6,val,1239,232,232,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
fold6,test,1239,232,232,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
fold7,val,1240,232,232,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
fold7,test,1240,233,233,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
fold8,val,1239,233,233,0.12881733775329618,0.14067045962188285,0.0811388525765593,1.7337003809506915,1.340957714123375,3.2206434254990057,-0.04367775038619415,2.0588838319033025,2.236373817412208,99.0
fold8,test,1239,83,83,-0.0380129949127197,-0.112279815389285,0.541879571194713,-0.20720437041340245,-0.26093580147389245,-0.3907140008081116,-0.28737085222709524,1.0910612961615067,3.3530176418621913,65.0
