date,fold,split,account_value,account_value_std,seed_count
2012-01-31,fold1,val,10000.0,0.0,5
2012-02-01,fold1,val,10077.484300830984,0.0,5
2012-02-02,fold1,val,10093.459129640209,0.0,5
2012-02-03,fold1,val,10204.638153690346,67.79337904754587,5
2012-02-06,fold1,val,10194.44131427732,71.51679093475649,5
2012-02-07,fold1,val,10209.016172743917,85.54428593283936,5
2012-02-08,fold1,val,10237.295667367607,90.29523388080575,5
2012-02-09,fold1,val,10240.982269173677,98.88470506188348,5
2012-02-10,fold1,val,10161.289606996641,102.14372919059609,5
2012-02-13,fold1,val,10236.91694817584,102.90395342940545,5
2012-02-14,fold1,val,10224.060438653174,102.77471670082069,5
2012-02-15,fold1,val,10176.414844436153,102.295771718338,5
2012-02-16,fold1,val,10289.099998226553,103.42851001020148,5
2012-02-17,fold1,val,10308.788650442011,100.75273434979357,5
2012-02-21,fold1,val,10302.305551894828,94.5307135694779,5
2012-02-22,fold1,val,10294.140896527539,109.54891229441294,5
2012-02-23,fold1,val,10307.98483057227,93.65307738391569,5
2012-02-24,fold1,val,10312.882210868109,92.21050290356051,5
2012-02-27,fold1,val,10321.231913272813,96.51414834392087,5
2012-02-28,fold1,val,10339.366692566611,109.62637971033885,5
2012-02-29,fold1,val,10314.83770420558,93.35645807315022,5
2012-03-01,fold1,val,10347.005585586136,116.73216359938807,5
2012-03-02,fold1,val,10327.91165965865,100.91784405352415,5
2012-03-05,fold1,val,10302.503902052302,89.70670801070332,5
2012-03-06,fold1,val,10212.00594688625,153.5830391530478,5
2012-03-07,fold1,val,10266.594642546857,125.95563212108729,5
2012-03-08,fold1,val,10366.631723427527,123.90508956551447,5
2012-03-09,fold1,val,10406.725569094984,124.38430322632469,5
2012-03-12,fold1,val,10407.48162117249,124.39333978736745,5
2012-03-13,fold1,val,10595.08526713438,126.635634794645,5
2012-03-14,fold1,val,10584.342581083929,126.78568806096978,5
2012-03-15,fold1,val,10587.650067517558,90.45235361635065,5
2012-03-16,fold1,val,10589.819585924291,105.81241428111088,5
2012-03-19,fold1,val,10593.701566215686,92.33536487926412,5
2012-03-20,fold1,val,10595.686982567448,103.605516488813,5
2012-03-21,fold1,val,10588.008492683313,108.96303437978946,5
2012-03-22,fold1,val,10586.300927350654,168.80323725924836,5
2012-03-23,fold1,val,10590.658716777969,142.20020050378307,5
2012-03-26,fold1,val,10587.231317376214,88.03085067737923,5
2012-03-27,fold1,val,10587.34251894002,74.74449204049658,5
2012-03-28,fold1,val,10580.959111796492,86.76335593527646,5
2012-03-29,fold1,val,10578.269175706193,94.78592168880432,5
2012-03-30,fold1,val,10582.586843136149,78.00151512276044,5
2012-04-02,fold1,val,10545.237055281777,80.18434802803817,5
2012-04-03,fold1,val,10530.217080103768,81.96336490870884,5
2012-04-04,fold1,val,10509.600464857158,162.78139092520573,5
2012-04-05,fold1,val,10505.428438388912,165.60107035973826,5
2012-04-09,fold1,val,10407.30915736524,203.18017587398776,5
2012-04-10,fold1,val,10230.51505276375,195.6900969968136,5
2012-04-11,fold1,val,10275.449918712486,155.6025420799189,5
2012-04-12,fold1,val,10405.490559701913,153.38759276644916,5
2012-04-13,fold1,val,10304.442240452929,159.53832574926844,5
2012-04-16,fold1,val,10295.602737817166,158.04484596165364,5
2012-04-17,fold1,val,10415.287894872277,156.15862451879516,5
2012-04-18,fold1,val,10382.900170764917,150.25167068957052,5
2012-04-19,fold1,val,10351.649249230879,120.59157117565906,5
2012-04-20,fold1,val,10361.376079821614,125.6598409186907,5
2012-04-23,fold1,val,10322.040962151921,111.88868421158695,5
2012-04-24,fold1,val,10349.265682913669,110.92000756455641,5
2012-04-25,fold1,val,10401.89269366324,177.67483479338176,5
2012-04-26,fold1,val,10456.055882634695,205.3479770894955,5
2012-04-27,fold1,val,10459.00956323974,222.73068867664284,5
2012-04-30,fold1,val,10423.694691089535,213.85861694786274,5
2012-05-01,fold1,val,10446.35529615662,269.6372058014795,5
2012-05-02,fold1,val,10417.121465857364,263.3245372737679,5
2012-05-03,fold1,val,10379.970819484117,206.022507917186,5
2012-05-04,fold1,val,10240.941904191008,166.35001286190072,5
2012-05-07,fold1,val,10246.392016385902,168.36254791699884,5
2012-05-08,fold1,val,10205.286643463714,167.68712916401813,5
2012-05-09,fold1,val,10144.75015806487,166.6924300633596,5
2012-05-10,fold1,val,10165.676322390633,167.03627620338486,5
2012-05-11,fold1,val,10135.034031631327,166.5327805204167,5
2012-05-14,fold1,val,10022.929091147413,164.69073959676487,5
2012-05-15,fold1,val,9965.381569056352,163.74515334259252,5
2012-05-16,fold1,val,9927.266299832374,163.11886617430636,5
2012-05-17,fold1,val,9780.035053432266,160.69965092885434,5
2012-05-18,fold1,val,9696.330396129213,159.32426636875496,5
2012-05-21,fold1,val,9862.99275500598,162.06276196188355,5
2012-05-22,fold1,val,9880.181859904193,162.34520299014628,5
2012-05-23,fold1,val,9885.41397118085,162.4311738942573,5
2012-05-24,fold1,val,9904.845083657507,162.75045424193672,5
2012-05-25,fold1,val,9872.708881439521,162.2224115048309,5
2012-05-29,fold1,val,9992.286800388107,164.18724391379928,5
2012-05-30,fold1,val,9847.297561566444,161.80486798776408,5
2012-05-31,fold1,val,9825.624441511342,161.4487483206693,5
2012-06-01,fold1,val,9578.246388639305,157.38398101392642,5
2012-06-04,fold1,val,9573.76237348242,157.31030237509344,5
2012-06-05,fold1,val,9646.256992893248,158.50149033811158,5
2012-06-06,fold1,val,9862.992755005977,162.0627619618874,5
2012-06-07,fold1,val,9868.971822011972,162.16100639306586,5
2012-06-08,fold1,val,9947.445508428795,163.45043878726466,5
2012-06-11,fold1,val,9821.140426354452,161.37506968183854,5
2012-06-12,fold1,val,9933.992322567705,163.22938413255753,5
2012-06-13,fold1,val,9870.466873861074,162.1855721854147,5
2012-06-14,fold1,val,9975.09769548989,163.90480288553852,5
2012-06-15,fold1,val,10025.171098725854,164.72757891618497,5
2012-06-18,fold1,val,10044.602211202515,165.04685926386205,5
2012-06-19,fold1,val,10141.76005436666,166.64329847866858,5
2012-06-20,fold1,val,10127.823817103492,165.33709484020127,5
2012-06-21,fold1,val,9986.3299761333,196.03979426474208,5
2012-06-22,fold1,val,10045.457995495028,173.83521486466265,5
2012-06-25,fold1,val,9882.372609056538,168.7433978467579,5
2012-06-26,fold1,val,9932.039460682312,169.59146881465477,5
2012-06-27,fold1,val,10021.59205644656,171.1205964738781,5
2012-06-28,fold1,val,9992.995120444702,170.6322983353789,5
2012-06-29,fold1,val,10242.087247902246,174.88559393825278,5
2012-07-02,fold1,val,10248.38118921375,183.39196679315242,5
2012-07-03,fold1,val,10282.422888596991,171.1877727850458,5
2012-07-05,fold1,val,10243.269564842523,172.6441890714617,5
2012-07-06,fold1,val,10182.997260004084,203.27769050783797,5
2012-07-09,fold1,val,10170.749859516805,203.69029085267417,5
2012-07-10,fold1,val,10116.161905716495,253.02590414184536,5
2012-07-11,fold1,val,10115.267212021212,249.04070874989836,5
2012-07-12,fold1,val,10064.179238116894,244.39550251620915,5
2012-07-13,fold1,val,10233.034138162711,248.49592413754974,5
2012-07-16,fold1,val,10208.911516629063,247.910137649428,5
2012-07-17,fold1,val,10279.016879010062,249.61255519017365,5
2012-07-18,fold1,val,10355.151746544565,251.46139142111235,5
2012-07-19,fold1,val,10367.26140288138,250.6835375720242,5
2012-07-20,fold1,val,10307.335149934806,313.69192176622374,5
2012-07-23,fold1,val,10222.719034844858,347.0149128982959,5
2012-07-24,fold1,val,10132.805811070744,339.98494080943817,5
2012-07-25,fold1,val,10135.076597572368,340.06113226407973,5
2012-07-26,fold1,val,10302.278983020433,345.671255874428,5
2012-07-27,fold1,val,10450.101143325988,276.820089759109,5
2012-07-30,fold1,val,10445.914820914673,276.36124481115803,5
2012-07-31,fold1,val,10383.798406227133,299.11695063992596,5
2012-08-01,fold1,val,10376.351206922807,301.6113122367013,5
2012-08-02,fold1,val,10329.28075666892,305.7019225890629,5
