date,account_value,fold,split
2012-01-31,10000.0,fold1,val
2012-02-01,10077.484300830984,fold1,val
2012-02-02,10093.459129640209,fold1,val
2012-02-03,10083.365670510568,fold1,val
2012-02-06,10066.544096402316,fold1,val
2012-02-07,10056.477552305914,fold1,val
2012-02-08,10076.235308805113,fold1,val
2012-02-09,10066.159073496308,fold1,val
2012-02-10,9981.801448191438,fold1,val
2012-02-13,10056.092914422814,fold1,val
2012-02-14,10043.463501195218,fold1,val
2012-02-15,9996.65951471815,fold1,val
2012-02-16,10107.354207498112,fold1,val
2012-02-17,10134.09918068532,fold1,val
2012-02-21,10138.556487283551,fold1,val
2012-02-22,10105.868060766097,fold1,val
2012-02-23,10150.443393944046,fold1,val
2012-02-24,10172.729926935208,fold1,val
2012-02-27,10189.81778035885,fold1,val
2012-02-28,10219.533913412273,fold1,val
2012-02-29,10179.417020430368,fold1,val
2012-03-01,10232.16332663987,fold1,val
2012-03-02,10200.961046854429,fold1,val
2012-03-05,10159.358007140509,fold1,val
2012-03-06,10010.77507467776,fold1,val
2012-03-07,10080.609234310903,fold1,val
2012-03-08,10180.902033564573,fold1,val
2012-03-09,10220.277553577189,fold1,val
2012-03-12,10221.02006014429,fold1,val
2012-03-13,10405.262578990714,fold1,val
2012-03-14,10394.119312495133,fold1,val
2012-03-15,10454.295218766898,fold1,val
2012-03-16,10423.092938981457,fold1,val
2012-03-19,10463.953472128276,fold1,val
2012-03-20,10433.493698909937,fold1,val
2012-03-21,10416.406979084108,fold1,val
2012-03-22,10341.37187268782,fold1,val
2012-03-23,10374.802805772375,fold1,val
2012-03-26,10520.414578368905,fold1,val
2012-03-27,10509.894163790537,fold1,val
2012-03-28,10447.32266275214,fold1,val
2012-03-29,10436.875340089387,fold1,val
2012-03-30,10469.563000049746,fold1,val
2012-04-02,10459.093437049696,fold1,val
2012-04-03,10405.90854547543,fold1,val
2012-04-04,10302.778083790929,fold1,val
2012-04-05,10297.620998687838,fold1,val
2012-04-09,10181.967632658629,fold1,val
2012-04-10,10011.064440109763,fold1,val
