fold,split,train_rows,eval_rows,account_points,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,turnover,annualized_turnover,average_holding_time_days
fold1,val,1241,231,231,0.17446838400137987,0.19267414705718666,0.12634792436107128,1.5249490486806205,2.333230675078644,2.5008165891179877,-0.07704449334492813,33.240645903984635,36.42018594697446,12.588235294117647
fold1,test,1241,233,233,0.016127674596405406,0.017530109785151016,0.10071081431798547,0.17406382724501906,0.2801931524793946,0.3017461402252407,-0.05809555599307925,109.11697946987596,118.52361563107216,3.2363636363636363
fold2,val,1240,233,233,0.25545908741932766,0.2803244143182717,0.10030716528391971,2.794659918110662,3.716216034814841,5.352641416828178,-0.0523712299196728,43.01892714593324,46.72745534816887,8.318181818181818
fold2,test,1240,233,233,0.11095874439442333,0.12108207458385234,0.10946206909390145,1.106155543981018,1.4544298740803518,1.5714971307727414,-0.07704886774073427,25.301022071102924,27.482144663439385,15.846153846153847
fold3,val,1239,233,233,0.12028440895696102,0.13130766825355233,0.10864531086270289,1.208590294517987,1.6106638296320521,1.9716908347459692,-0.06659647949850611,13.229773043121064,14.370270719252192,31.428571428571427
fold3,test,1239,233,233,-0.004710353993756855,-0.005115378700081719,0.15265801295791986,-0.03350874677958615,-0.044711742330487594,-0.04163681015474997,-0.12285712284561623,0.9919415493041338,1.0774537518303522,226.0
fold4,val,1239,233,233,0.01582295996122518,0.017198674116416512,0.15445089672892579,0.11135366955234725,0.15208630863740907,0.1349727292249171,-0.12742332629102304,3.018844156471952,3.2790893423747067,115.5
fold4,test,1239,233,233,0.11032559547715137,0.12038809414248974,0.11540547144734335,1.0431749260468974,1.3766725113238192,1.7209966039578248,-0.06995254602224654,29.529359223228187,32.074993639023724,14.333333333333334
fold5,val,1239,233,233,0.03885631692698732,0.04227586634442826,0.11347707774850954,0.3725498328228101,0.48634072397273187,0.4316899324382521,-0.09793109166490765,7.071073060900089,7.680648324770787,55.25
fold5,test,1239,232,232,0.03665827745023176,0.04005675674032938,0.067287650878756,0.5953062146946798,0.7290495679239719,0.7402504075928521,-0.05411244131642701,4.992985747744815,5.446893542994344,71.66666666666667
fold6,val,1239,232,232,-0.005174022934953948,-0.0056430591063761915,0.06706311284514979,-0.08414549917189408,-0.10983420124114324,-0.06585812465804468,-0.08568508647454909,19.235517012279995,20.98420037703272,21.6
fold6,test,1239,232,232,0.10456113145151202,0.1145924533696252,0.16694795875494223,0.6863962532050598,0.9245635164600884,1.4102505475338754,-0.08125680473587804,16.829391252008485,18.35933591128198,23.88888888888889
fold7,val,1240,232,232,0.0077914216681382875,0.00850273587528294,0.16339769213666736,0.05203706223813231,0.07775578066296582,0.04539531945512144,-0.1873042414359235,11.223166686111094,12.243454566666648,37.0
fold7,test,1240,233,233,-0.1237287017965858,-0.13364948592485792,0.10908217173458572,-1.2252184183685708,-2.1273596258048033,-1.046686198240582,-0.12768820889156163,5.146848405203804,5.590542233238615,70.33333333333333
fold8,val,1239,233,233,-0.17367443710068242,-0.18715254710594975,0.11710734011023434,-1.5981282379890205,-2.6916123909987815,-1.0609073935124722,-0.17640799588201717,5.089806919725873,5.528583378322931,76.66666666666667
fold8,test,1239,93,93,0.1056505414790132,0.31666433153775353,0.49852859556280493,0.6351979291784877,0.8770598380773593,1.3855931095042187,-0.2285406367610039,13.869044826179284,37.989122784751956,12.142857142857142
