date,fold,split,account_value,account_value_std,seed_count
2012-01-31,fold1,val,10000.0,0.0,5
2012-02-01,fold1,val,10077.484300830984,0.0,5
2012-02-02,fold1,val,10093.459129640209,0.0,5
2012-02-03,fold1,val,10234.95627448529,0.0,5
2012-02-06,fold1,val,10228.109919281336,0.0,5
2012-02-07,fold1,val,10253.974701691388,0.0,5
2012-02-08,fold1,val,10284.404881696752,0.0,5
2012-02-09,fold1,val,10297.337272901776,0.0,5
2012-02-10,fold1,val,10221.263564077382,0.0,5
2012-02-13,fold1,val,10297.337272901776,0.0,5
2012-02-14,fold1,val,10284.404881696752,0.0,5
2012-02-15,fold1,val,10236.478073683726,0.0,5
2012-02-16,fold1,val,10349.828317717438,0.0,5
2012-02-17,fold1,val,10377.214899325929,0.0,5
2012-02-21,fold1,val,10381.779136128562,0.0,5
2012-02-22,fold1,val,10348.306518519,0.0,5
2012-02-23,fold1,val,10393.951208130708,0.0,5
2012-02-24,fold1,val,10416.772392143885,0.0,5
2012-02-27,fold1,val,10434.270180944222,0.0,5
2012-02-28,fold1,val,10464.699200156909,0.0,5
2012-02-29,fold1,val,10423.619908140514,0.0,5
2012-03-01,fold1,val,10477.631591361936,0.0,5
2012-03-02,fold1,val,10445.680772950813,0.0,5
2012-03-05,fold1,val,10403.07968173598,0.0,5
2012-03-06,fold1,val,10250.93226408719,0.0,5
2012-03-07,fold1,val,10322.44173610895,0.0,5
2012-03-08,fold1,val,10425.14054654628,0.0,5
2012-03-09,fold1,val,10465.460680152471,0.0,5
2012-03-12,fold1,val,10466.220999355352,0.0,5
2012-03-13,fold1,val,10654.883472217904,0.0,5
2012-03-14,fold1,val,10643.472880211317,0.0,5
2012-03-15,fold1,val,10705.092398632249,0.0,5
2012-03-16,fold1,val,10677.390725423618,9.501377519054987,5
2012-03-19,fold1,val,10717.100892630579,4.737200341905065,5
2012-03-20,fold1,val,10694.098481624342,14.60042779020348,5
2012-03-21,fold1,val,10672.308166821591,9.039659000690277,5
2012-03-22,fold1,val,10608.688640346323,37.81565926495952,5
2012-03-23,fold1,val,10640.841652071405,33.18185451986006,5
2012-03-26,fold1,val,10790.187316165862,33.647566374353445,5
2012-03-27,fold1,val,10770.313048798354,39.58946168918272,5
2012-03-28,fold1,val,10710.467507218073,36.137326377268415,5
2012-03-29,fold1,val,10692.167720688929,36.075582540411474,5
2012-03-30,fold1,val,10736.391332219178,36.224793868710066,5
2012-04-02,fold1,val,10814.926025479419,36.48977145632367,5
2012-04-03,fold1,val,10770.70241394917,36.340560128025466,5
2012-04-04,fold1,val,10663.95656780199,35.980397560046676,5
2012-04-05,fold1,val,10658.618693773398,35.96238746891079,5
2012-04-09,fold1,val,10538.910935125665,35.558491155211954,5
2012-04-10,fold1,val,10362.016489004662,34.961645842018534,5
2012-04-11,fold1,val,10427.085064175728,64.25376841877134,5
2012-04-12,fold1,val,10561.229045777454,69.16468684927598,5
2012-04-13,fold1,val,10458.85556862086,110.4195864643338,5
2012-04-16,fold1,val,10449.866476066232,106.13030632806483,5
2012-04-17,fold1,val,10571.074303202635,54.45848932769586,5
2012-04-18,fold1,val,10533.236663849078,52.7255914366161,5
2012-04-19,fold1,val,10477.0532347339,64.58573911206362,5
2012-04-20,fold1,val,10486.897997603275,73.51260741417673,5
2012-04-23,fold1,val,10427.870577240861,106.82231820556558,5
2012-04-24,fold1,val,10463.287544157516,102.685922440043,5
2012-04-25,fold1,val,10575.472287533994,82.47848502159557,5
2012-04-26,fold1,val,10647.043926339884,83.51863250526495,5
2012-04-27,fold1,val,10658.901485937542,86.14239381847702,5
2012-04-30,fold1,val,10617.305284429105,87.2108162816282,5
2012-05-01,fold1,val,10668.08634594662,103.77804764926908,5
2012-05-02,fold1,val,10642.589001038488,104.29567430164899,5
2012-05-03,fold1,val,10571.148925094989,87.20059767484368,5
2012-05-04,fold1,val,10462.15692473688,101.54556202656416,5
2012-05-07,fold1,val,10465.580634153957,98.4058502642609,5
2012-05-08,fold1,val,10423.595943920931,98.01107626319111,5
2012-05-09,fold1,val,10371.914854977515,81.56310911212384,5
2012-05-10,fold1,val,10391.249304240695,84.70008839253065,5
2012-05-11,fold1,val,10359.927071224909,84.44477781077056,5
2012-05-14,fold1,val,10245.33455933865,83.51072304972031,5
2012-05-15,fold1,val,10186.510076842349,83.03123894523824,5
2012-05-16,fold1,val,10147.549042451332,82.7136637470928,5
2012-05-17,fold1,val,9997.050783585086,81.48693773411036,5
2012-05-18,fold1,val,9911.488747732512,80.78951321973582,5
2012-05-21,fold1,val,10081.849289008733,82.17813863735552,5
2012-05-22,fold1,val,10099.419814436604,82.3213577069098,5
2012-05-23,fold1,val,10104.768024525047,82.36495148990562,5
2012-05-24,fold1,val,10124.630306935018,82.52685089454317,5
2012-05-25,fold1,val,10091.781013061373,82.2590930905227,5
2012-05-29,fold1,val,10214.012326322863,83.25541246795946,5
2012-05-30,fold1,val,10093.138605094302,62.00732130178565,5
2012-05-31,fold1,val,10068.907745418983,61.52940185991676,5
2012-06-01,fold1,val,9864.112348034016,126.38485721913587,5
2012-06-04,fold1,val,9857.482816459637,122.38396856064607,5
2012-06-05,fold1,val,9932.12582902358,123.31068669680492,5
2012-06-06,fold1,val,10155.284600611241,126.08127799222397,5
2012-06-07,fold1,val,10158.115370105303,119.72878322972173,5
2012-06-08,fold1,val,10236.803430142203,116.71180771746876,5
2012-06-11,fold1,val,10131.185938495433,163.9058307759577,5
2012-06-12,fold1,val,10245.495970649725,161.43632737844985,5
2012-06-13,fold1,val,10191.32048311769,184.06916830694686,5
2012-06-14,fold1,val,10297.22991404462,181.55631479628687,5
2012-06-15,fold1,val,10323.912190360916,169.1848584665962,5
2012-06-18,fold1,val,10327.718702450133,174.90448348620538,5
2012-06-19,fold1,val,10379.145549441295,168.68564875806481,5
2012-06-20,fold1,val,10360.741671622338,167.63728991879498,5
2012-06-21,fold1,val,10305.766223863971,244.48489763606108,5
2012-06-22,fold1,val,10348.402352477244,208.52003606093322,5
2012-06-25,fold1,val,10342.767262849185,269.00814352696665,5
2012-06-26,fold1,val,10375.6910431821,253.25334789528662,5
2012-06-27,fold1,val,10445.749181710855,225.72875240801523,5
2012-06-28,fold1,val,10413.819045002714,222.7847618575141,5
2012-06-29,fold1,val,10618.41739138804,201.26735246755115,5
2012-07-02,fold1,val,10614.174707522117,200.56662785800972,5
2012-07-03,fold1,val,10630.616854822907,140.7727400863965,5
2012-07-05,fold1,val,10614.99080043584,175.04083992978985,5
2012-07-06,fold1,val,10667.355557381801,210.41123799886847,5
2012-07-09,fold1,val,10656.384946795593,225.39113580583472,5
2012-07-10,fold1,val,10630.188819475497,285.6441910740772,5
2012-07-11,fold1,val,10622.59253057715,283.4402287068106,5
2012-07-12,fold1,val,10582.93211623129,268.70428404335934,5
2012-07-13,fold1,val,10756.232258388161,275.5006055970986,5
2012-07-16,fold1,val,10733.766390699862,273.4821217196963,5
2012-07-17,fold1,val,10805.334234037731,276.36046668354675,5
2012-07-18,fold1,val,10867.380241874056,289.8134578652839,5
2012-07-19,fold1,val,10878.135867408768,300.0789405322445,5
2012-07-20,fold1,val,10791.80453756834,289.86971340173653,5
2012-07-23,fold1,val,10719.456484072802,272.7022975787045,5
2012-07-24,fold1,val,10639.22827649261,263.54571642318416,5
2012-07-25,fold1,val,10636.91205947741,265.30939377378894,5
2012-07-26,fold1,val,10773.305441411218,295.59655533120343,5
2012-07-27,fold1,val,10969.739598976063,303.14268170013776,5
2012-07-30,fold1,val,10963.22514678016,306.18264129963626,5
2012-07-31,fold1,val,10880.081339100445,307.14052412430067,5
2012-08-01,fold1,val,10870.04801286532,307.20860023041763,5
2012-08-02,fold1,val,10790.737126838503,307.72906412070176,5
2012-08-03,fold1,val,10871.398869610624,393.2786992652627,5
2012-08-06,fold1,val,10872.904517881852,384.5822163503812,5
2012-08-07,fold1,val,10897.337420259159,402.3747792697954,5
2012-08-08,fold1,val,10896.70643211209,408.61222777617957,5
