date,account_value,fold,split
2012-01-03,10000.0,fold1,val
2012-01-04,10000.0,fold1,val
2012-01-05,10016.597991360202,fold1,val
2012-01-06,9990.78246940744,fold1,val
2012-01-09,10015.034246243882,fold1,val
2012-01-10,10101.869848142187,fold1,val
2012-01-11,10107.345343446435,fold1,val
2012-01-12,10131.596523433594,fold1,val
2012-01-13,10079.182413271348,fold1,val
2012-01-17,10118.297527753493,fold1,val
2012-01-18,10230.167375895679,fold1,val
2012-01-19,10284.146424872806,fold1,val
2012-01-20,10322.478473098226,fold1,val
2012-01-23,10295.880481738022,fold1,val
2012-01-24,10284.146424872804,fold1,val
2012-01-25,10370.198960514384,fold1,val
2012-01-26,10317.002977793978,fold1,val
2012-01-27,10312.30935504789,fold1,val
2012-01-30,10277.10479705511,fold1,val
2012-01-31,10273.194240565745,fold1,val
2012-02-01,10363.158526395251,fold1,val
2012-02-02,10379.586206006557,fold1,val
2012-02-03,10525.094479628078,fold1,val
2012-02-06,10518.054045508947,fold1,val
2012-02-07,10544.652036869149,fold1,val
2012-02-08,10575.944844674,fold1,val
2012-02-09,10589.243840354102,fold1,val
2012-02-10,10511.013611389813,fold1,val
2012-02-13,10589.243840354104,fold1,val
2012-02-14,10575.944844674,fold1,val
2012-02-15,10526.659418442958,fold1,val
2012-02-16,10643.222889331231,fold1,val
2012-02-17,10671.385819506319,fold1,val
2012-02-21,10676.079442252405,fold1,val
2012-02-22,10641.657950516348,fold1,val
2012-02-23,10688.596565374346,fold1,val
2012-02-24,10712.064679104782,fold1,val
2012-02-27,10730.058491229533,fold1,val
2012-02-28,10761.350105335823,fold1,val
2012-02-29,10719.106306922475,fold1,val
2012-03-01,10774.649101015924,fold1,val
2012-03-02,10741.79254809475,fold1,val
2012-03-05,10697.983810866519,fold1,val
2012-03-06,10541.523352937942,fold1,val
2012-03-07,10615.059959156144,fold1,val
2012-03-08,10720.670052038799,fold1,val
2012-03-09,10762.13317159255,fold1,val
2012-03-12,10762.915044150712,fold1,val
2012-03-13,10956.925677746553,fold1,val
2012-03-14,10945.191620881333,fold1,val
2012-03-15,11008.557915350637,fold1,val
2012-03-16,10975.701362429463,fold1,val
2012-03-19,11018.728227099535,fold1,val
2012-03-20,10986.653546736521,fold1,val
2012-03-21,10968.660928310332,fold1,val
2012-03-22,10889.64763308932,fold1,val
2012-03-23,10924.850997383537,fold1,val
2012-03-26,11078.18277138091,fold1,val
2012-03-27,11043.761279644854,fold1,val
2012-03-28,10989.000358109564,fold1,val
2012-03-29,10970.224673426654,fold1,val
2012-03-30,11015.59834946977,fold1,val
2012-04-02,11096.175389807104,fold1,val
2012-04-03,11050.801713763989,fold1,val
2012-04-04,10941.27987069341,fold1,val
2012-04-05,10935.8031816906,fold1,val
2012-04-09,10812.982342939918,fold1,val
2012-04-10,10631.487638767458,fold1,val
2012-04-11,10717.5413681076,fold1,val
2012-04-12,10857.57295272631,fold1,val
2012-04-13,10728.493552414659,fold1,val
2012-04-16,10721.453118295527,fold1,val
2012-04-17,10880.260387597149,fold1,val
2012-04-18,10843.492084488049,fold1,val
2012-04-19,10773.867228457773,fold1,val
2012-04-20,10791.859846883963,fold1,val
2012-04-23,10701.112494797731,fold1,val
2012-04-24,10741.79254809476,fold1,val
2012-04-25,10888.865760531164,fold1,val
2012-04-26,10964.749178122409,fold1,val
2012-04-27,10982.741796548598,fold1,val
2012-04-30,10942.06174325157,fold1,val
2012-05-01,11010.122854165524,fold1,val
2012-05-02,10977.26630124435,fold1,val
2012-05-03,10893.559383277252,fold1,val
2012-05-04,10717.541368107602,fold1,val
2012-05-07,10725.364868483457,fold1,val
2012-05-08,10682.338003813386,fold1,val
2012-05-09,10618.971709344081,fold1,val
2012-05-10,10640.876077958197,fold1,val
2012-05-11,10608.801397595184,fold1,val
2012-05-14,10491.45605414875,fold1,val
2012-05-15,10431.21844361065,fold1,val
2012-05-16,10391.321456570346,fold1,val
2012-05-17,10237.20781001481,fold1,val
2012-05-18,10149.590335558347,fold1,val
