date,account_value,fold,split,seed
2012-01-03,10000.0,fold1,val,42
2012-01-04,10005.670349121094,fold1,val,42
2012-01-05,10032.310062184051,fold1,val,42
2012-01-06,10006.454045912798,fold1,val,42
2012-01-09,10030.743864171644,fold1,val,42
2012-01-10,10117.715676700367,fold1,val,42
2012-01-11,10123.199760885802,fold1,val,42
2012-01-12,10147.488981359147,fold1,val,42
2012-01-13,10094.992654239431,fold1,val,42
2012-01-17,10134.169124827667,fold1,val,42
2012-01-18,10246.214452406944,fold1,val,42
2012-01-19,10300.278173110066,fold1,val,42
2012-01-20,10338.670349121094,fold1,val,42
2012-01-23,10312.030636058134,fold1,val,42
2012-01-24,10300.278173110064,fold1,val,42
2012-01-25,10386.46569106158,fold1,val,42
2012-01-26,10333.18626493566,fold1,val,42
2012-01-27,10328.485279756433,fold1,val,42
2012-01-30,10293.225499770218,fold1,val,42
2012-01-31,10289.308809168197,fold1,val,42
2012-02-01,10379.414213292735,fold1,val,42
2012-02-02,10395.867661420036,fold1,val,42
2012-02-03,10541.604179831113,fold1,val,42
2012-02-06,10534.55270206227,fold1,val,42
2012-02-07,10561.19241512523,fold1,val,42
2012-02-08,10592.53430893842,fold1,val,42
2012-02-09,10605.854165469898,fold1,val,42
2012-02-10,10527.501224293428,fold1,val,42
2012-02-13,10605.8541654699,fold1,val,42
2012-02-14,10592.53430893842,fold1,val,42
2012-02-15,10543.171573414524,fold1,val,42
2012-02-16,10659.917886173029,fold1,val,42
2012-02-17,10688.124992819396,fold1,val,42
2012-02-21,10692.825977998624,fold1,val,42
2012-02-22,10658.350492589616,fold1,val,42
2012-02-23,10705.3627355239,fold1,val,42
2012-02-24,10728.867661420038,fold1,val,42
2012-02-27,10746.889698701749,fold1,val,42
2012-02-28,10778.230396943933,fold1,val,42
2012-02-29,10735.92033475988,fold1,val,42
2012-03-01,10791.550253475412,fold1,val,42
2012-03-02,10758.642161649816,fold1,val,42
2012-03-05,10714.764705882351,fold1,val,42
2012-03-06,10558.058823529413,fold1,val,42
2012-03-07,10631.710779526657,fold1,val,42
2012-03-08,10737.486532772293,fold1,val,42
2012-03-09,10779.014691521144,fold1,val,42
2012-03-12,10779.797790527347,fold1,val,42
2012-03-13,10974.112749885117,fold1,val,42
2012-03-14,10962.360286937044,fold1,val,42
2012-03-15,11025.825977998626,fold1,val,42
2012-03-16,10992.917886173029,fold1,val,42
2012-03-19,11036.012242934286,fold1,val,42
2012-03-20,11003.887250114893,fold1,val,42
2012-03-21,10985.866408404185,fold1,val,42
2012-03-22,10906.729172650508,fold1,val,42
2012-03-23,10941.98775706572,fold1,val,42
2012-03-26,11095.56004782284,fold1,val,42
2012-03-27,11061.084562413833,fold1,val,42
2012-03-28,11006.237742704505,fold1,val,42
2012-03-29,10987.432606416589,fold1,val,42
2012-03-30,11032.877455767462,fold1,val,42
2012-04-02,11113.580889533549,fold1,val,42
2012-04-03,11068.136040182671,fold1,val,42
2012-04-04,10958.442400764015,fold1,val,42
2012-04-05,10952.95712100758,fold1,val,42
2012-04-09,10829.943625057444,fold1,val,42
2012-04-10,10648.16422765395,fold1,val,42
2012-04-11,10734.352941176468,fold1,val,42
2012-04-12,10874.60417983111,fold1,val,42
2012-04-13,10745.322305118336,fold1,val,42
2012-04-16,10738.270827349494,fold1,val,42
2012-04-17,10897.32720229205,fold1,val,42
2012-04-18,10860.50122429343,fold1,val,42
2012-04-19,10790.767154469211,fold1,val,42
2012-04-20,10808.78799617992,fold1,val,42
2012-04-23,10717.898297478172,fold1,val,42
2012-04-24,10758.64216164982,fold1,val,42
2012-04-25,10905.946073644303,fold1,val,42
2012-04-26,10981.94852223116,fold1,val,42
2012-04-27,10999.969363941873,fold1,val,42
2012-04-30,10959.225499770226,fold1,val,42
2012-05-01,11027.393371582037,fold1,val,42
2012-05-02,10994.48527975644,fold1,val,42
2012-05-03,10910.647058823535,fold1,val,42
2012-05-04,10734.352941176476,fold1,val,42
2012-05-07,10742.188713522524,fold1,val,42
2012-05-08,10699.094356761265,fold1,val,42
2012-05-09,10635.628665699684,fold1,val,42
2012-05-10,10657.567393583417,fold1,val,42
2012-05-11,10625.44240076402,fold1,val,42
2012-05-14,10507.912988999316,fold1,val,42
2012-05-15,10447.580889533552,fold1,val,42
2012-05-16,10407.621319939111,fold1,val,42
2012-05-17,10253.265930175785,fold1,val,42
2012-05-18,10165.511018640858,fold1,val,42
2012-05-21,10340.237742704508,fold1,val,42
2012-05-22,10358.258584415216,fold1,val,42
2012-05-23,10363.74386417165,fold1,val,42
2012-05-24,10384.11519847197,fold1,val,42
2012-05-25,10350.42400764017,fold1,val,42
2012-05-29,10475.78799617992,fold1,val,42
2012-05-30,10323.783099006208,fold1,val,42
2012-05-31,10301.061272116272,fold1,val,42
2012-06-01,10041.713228113516,fold1,val,42
2012-06-04,10037.012242934286,fold1,val,42
2012-06-05,10113.014691521144,fold1,val,42
2012-06-06,10340.237742704508,fold1,val,42
2012-06-07,10346.506121467146,fold1,val,42
2012-06-08,10428.77694881664,fold1,val,42
2012-06-11,10296.360286937044,fold1,val,42
2012-06-12,10414.672797707954,fold1,val,42
2012-06-13,10348.073515050552,fold1,val,42
2012-06-14,10457.767154469211,fold1,val,42
2012-06-15,10510.263481588923,fold1,val,42
2012-06-18,10530.634815889249,fold1,val,42
2012-06-19,10632.49387853286,fold1,val,42
2012-06-20,10615.256135828356,fold1,val,42
2012-06-21,10377.063720703129,fold1,val,42
2012-06-22,10456.984055463008,fold1,val,42
2012-06-25,10289.3088091682,fold1,val,42
2012-06-26,10341.020841710708,fold1,val,42
2012-06-27,10434.261033002069,fold1,val,42
2012-06-28,10404.48653277229,fold1,val,42
2012-06-29,10663.835772346049,fold1,val,42
2012-07-02,10695.95956959444,fold1,val,42
