fold,K,BIC,BIC_gap
fold1,2,4864.828750565712,2105.4918521516765
fold1,3,3895.699529353926,1136.362630939891
fold1,4,3135.4012471739247,376.0643487598895
fold1,5,2759.336898414035,0.0
fold2,2,4591.2867972495205,1885.5511437762552
fold2,3,3625.1542969848633,919.418643511598
fold2,4,2940.494415802437,234.75876232917153
fold2,5,2705.7356534732653,0.0
fold3,2,4980.280404856455,1776.14448956446
fold3,3,3971.24368446945,767.1077691774549
fold3,4,3497.1605393191317,293.0246240271367
fold3,5,3204.135915291995,0.0
fold4,2,5297.367114292528,1884.4972207907567
fold4,3,4217.92697308712,805.0570795853491
fold4,4,3783.99772196249,371.1278284607188
fold4,5,3412.869893501771,0.0
fold5,2,5279.278522736151,1656.873942967963
fold5,3,4150.9371647386315,528.5325849704436
fold5,4,3704.4129306661653,82.00835089797738
fold5,5,3622.404579768188,0.0
fold6,2,5833.232605729174,1434.4336808593243
fold6,3,5179.17189419531,780.3729693254609
fold6,4,4649.374216477502,250.57529160765262
fold6,5,4398.7989248698495,0.0
fold7,2,5624.250305384171,1654.920261459125
fold7,3,4832.558105702593,863.2280617775468
fold7,4,4294.170305413298,324.8402614882516
fold7,5,3969.330043925046,0.0
fold8,2,5133.770756019149,1641.2123374893777
fold8,3,4253.956631570866,761.3982130410946
fold8,4,3804.2948878911575,311.73646936138584
fold8,5,3492.5584185297716,0.0
