fold,state_id,duration
fold1,0,37
fold1,3,26
fold1,0,44
fold1,3,40
fold1,1,24
fold1,3,27
fold1,0,3
fold1,3,17
fold1,1,30
fold1,3,17
fold1,1,20
fold1,3,13
fold1,1,28
fold1,3,60
fold1,1,44
fold1,2,73
fold1,1,12
fold1,2,64
fold1,1,70
fold1,3,64
fold1,1,18
fold1,3,18
fold1,0,18
fold1,3,11
fold1,1,10
fold1,3,10
fold1,0,36
fold1,3,7
fold1,1,62
fold1,3,56
fold1,0,19
fold1,3,23
fold1,0,41
fold1,3,35
fold1,0,34
fold1,3,45
fold1,1,2
fold1,2,24
fold1,1,78
fold2,3,14
fold2,2,19
fold2,3,14
fold2,2,27
fold2,3,61
fold2,2,44
fold2,1,73
fold2,2,12
fold2,1,64
fold2,2,70
fold2,3,68
fold2,2,14
fold2,3,11
fold2,0,26
fold2,3,30
fold2,0,36
fold2,3,7
fold2,2,62
fold2,3,40
fold2,0,38
fold2,3,17
fold2,0,51
fold2,3,25
fold2,0,37
fold2,3,45
fold2,2,2
fold2,1,22
fold2,2,78
fold2,3,14
fold2,0,60
fold2,3,16
fold2,0,14
fold2,3,56
fold2,0,55
fold2,3,20
fold2,0,17
fold3,0,108
fold3,1,39
fold3,3,9
fold3,1,20
fold3,3,12
fold3,1,41
fold3,3,16
fold3,2,18
fold3,3,6
fold3,1,23
fold3,3,2
fold3,2,36
fold3,3,5
fold3,1,2
fold3,0,40
fold3,1,60
fold3,3,18
fold3,2,19
fold3,3,23
fold3,2,41
fold3,3,16
fold3,1,9
fold3,3,10
fold3,2,34
fold3,3,43
fold3,1,2
fold3,0,100
fold3,1,10
fold3,3,6
fold3,2,55
fold3,3,40
fold3,1,31
fold3,3,22
fold3,2,53
fold3,3,20
fold3,2,16
fold3,3,17
fold3,2,20
fold3,3,7
fold3,2,27
fold3,3,20
fold3,2,18
fold3,3,9
fold3,1,11
fold3,3,9
fold3,2,58
fold3,3,17
fold3,2,40
fold4,0,12
fold4,1,30
fold4,0,6
fold4,3,23
fold4,0,7
fold4,1,7
fold4,2,62
fold4,1,40
fold4,0,23
fold4,3,2
fold4,0,13
fold4,1,17
fold4,0,5
fold4,3,23
fold4,0,23
fold4,1,25
fold4,0,4
fold4,3,14
fold4,0,19
fold4,1,45
fold4,2,102
fold4,1,14
fold4,0,5
fold4,3,26
fold4,0,29
fold4,1,17
fold4,0,13
fold4,1,56
fold4,0,5
fold4,3,8
fold4,0,25
fold4,3,3
fold4,0,14
fold4,1,20
fold4,0,17
fold4,1,12
fold4,0,8
fold4,3,13
fold4,0,23
fold4,3,11
fold4,0,3
fold4,1,20
fold4,0,2
fold4,3,11
fold4,0,9
fold4,1,25
fold4,0,1
fold4,3,26
fold4,0,20
fold4,3,6
fold4,0,29
fold4,3,24
fold4,0,30
fold4,1,17
fold4,0,4
fold4,3,14
fold4,0,12
fold4,1,13
fold4,0,7
fold4,3,57
fold4,0,20
fold4,3,19
