market_date,total_news_count,market_hours_news_count,outside_market_hours_news_count,score_0_count,score_1_count,score_2_count,score_3_count,score_4_count,score_5_count,score_6_count,score_7_count,score_8_count,score_9_count,score_10_count,sentiment_score_histogram
1914-09-15,2,0,2,0,0,0,0,0,2,0,0,0,0,0,5:2
1914-09-16,2,0,2,0,0,0,0,0,2,0,0,0,0,0,5:2
1914-09-17,1,0,1,0,0,0,0,0,1,0,0,0,0,0,5:1
1969-12-30,1,0,1,0,0,0,0,0,1,0,0,0,0,0,5:1
1999-08-30,17,0,17,0,0,0,0,0,17,0,0,0,0,0,5:17
1999-08-31,19,0,19,0,0,0,0,0,19,0,0,0,0,0,5:19
1999-09-01,17,0,17,0,0,0,0,0,17,0,0,0,0,0,5:17
1999-09-02,23,0,23,0,0,0,0,0,23,0,0,0,0,0,5:23
1999-09-05,23,0,23,0,0,0,0,0,23,0,0,0,0,0,5:23
1999-09-06,20,0,20,0,0,0,0,0,20,0,0,0,0,0,5:20
1999-09-07,21,0,21,0,0,0,0,0,21,0,0,0,0,0,5:21
1999-09-08,21,0,21,0,0,0,0,0,21,0,0,0,0,0,5:21
1999-09-09,23,0,23,0,0,0,0,0,23,0,0,0,0,0,5:23
1999-09-12,23,0,23,0,0,0,0,0,23,0,0,0,0,0,5:23
1999-09-13,29,0,29,0,0,0,0,0,29,0,0,0,0,0,5:29
1999-09-14,26,0,26,0,0,0,0,0,26,0,0,0,0,0,5:26
1999-09-15,30,0,30,0,0,0,0,0,30,0,0,0,0,0,5:30
1999-09-16,22,0,22,0,0,0,0,0,22,0,0,0,0,0,5:22
1999-09-17,2,0,2,0,0,0,0,0,2,0,0,0,0,0,5:2
1999-09-19,29,0,29,0,0,0,0,0,29,0,0,0,0,0,5:29
1999-09-20,31,0,31,0,0,0,0,0,31,0,0,0,0,0,5:31
1999-09-21,33,0,33,0,0,0,0,0,33,0,0,0,0,0,5:33
1999-09-22,33,0,33,0,0,0,0,0,33,0,0,0,0,0,5:33
1999-09-23,31,0,31,0,0,0,0,0,31,0,0,0,0,0,5:31
