variant,fold,num_samples,dir_mae,reg_mae
gating,fold1,232,0.375,0.4267241379310345
gating,fold2,232,0.4482758620689655,0.07758620689655173
gating,fold3,232,0.4267241379310345,0.03879310344827586
gating,fold4,232,0.30603448275862066,0.4267241379310345
gating,fold5,231,0.6796536796536796,0.025974025974025976
gating,fold6,231,0.5411255411255411,0.1774891774891775
gating,fold7,232,0.5086206896551724,0.21120689655172414
gating,fold8,92,0.5869565217391305,0.31521739130434784
no_gating,fold1,232,0.47413793103448276,0.1810344827586207
no_gating,fold2,232,0.4525862068965517,0.06465517241379311
no_gating,fold3,232,0.4353448275862069,0.2025862068965517
no_gating,fold4,232,0.41379310344827586,0.4396551724137931
no_gating,fold5,231,0.670995670995671,0.021645021645021644
no_gating,fold6,231,0.5541125541125541,0.09523809523809523
no_gating,fold7,232,0.4051724137931034,0.33189655172413796
no_gating,fold8,92,0.6630434782608695,0.1956521739130435
no_sentiment,fold1,232,0.375,0.3879310344827586
no_sentiment,fold2,232,0.4482758620689655,0.06465517241379311
no_sentiment,fold3,232,0.4353448275862069,0.04310344827586207
no_sentiment,fold4,232,0.2974137931034483,0.4353448275862069
no_sentiment,fold5,231,0.6796536796536796,0.021645021645021644
no_sentiment,fold6,231,0.5324675324675324,0.18181818181818182
no_sentiment,fold7,232,0.47413793103448276,0.30603448275862066
no_sentiment,fold8,92,0.5978260869565217,0.2826086956521739
